code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
SH.600009,上海机场,2022-01-04 00:00:00,46.18,48.3,48.48,46.08,0.0,0.01892,20690754,991329163.0,3.938024531956097,46.47
SH.600009,上海机场,2022-01-05 00:00:00,48.26,48.62,50.08,48.1,0.0,0.0232,25367844,1251106912.0,0.6625258799171849,48.3
SH.600009,上海机场,2022-01-06 00:00:00,48.97,48.78,49.18,47.78,0.0,0.01381,15102052,736331684.0,0.3290826820238661,48.62
SH.600009,上海机场,2022-01-07 00:00:00,48.78,49.77,50.28,48.39,0.0,0.02102,22984896,1147374256.0,2.029520295202956,48.78
SH.600009,上海机场,2022-01-10 00:00:00,48.43,49.77,50.07,47.98,0.0,0.01267,13856446,688301366.0,0.0,49.77
SH.600009,上海机场,2022-01-11 00:00:00,49.58,49.39,50.43,49.24,0.0,0.01208,13213087,661509649.0,-0.7635121559172243,49.77
SH.600009,上海机场,2022-01-12 00:00:00,49.39,49.52,50.71,49.04,0.0,0.00891,9747601,488283778.0,0.2632111763514933,49.39
SH.600009,上海机场,2022-01-13 00:00:00,49.51,49.06,50.39,48.91,0.0,0.01016,11107691,553151387.0,-0.9289176090468514,49.52
SH.600009,上海机场,2022-01-14 00:00:00,48.8,48.51,49.54,48.06,0.0,0.0111,12135245,593417795.0,-1.121076233183865,49.06
SH.600009,上海机场,2022-01-17 00:00:00,48.53,48.08,48.81,47.57,0.0,0.01172,12817394,616839461.0,-0.8864151721294573,48.51
SH.600009,上海机场,2022-01-18 00:00:00,47.98,49.15,49.52,47.61,0.0,0.01295,14158260,688775004.0,2.225457570715475,48.08
SH.600009,上海机场,2022-01-19 00:00:00,48.85,49.45,49.73,48.42,0.0,0.00989,10817689,534549388.0,0.6103763987792559,49.15
SH.600009,上海机场,2022-01-20 00:00:00,49.36,50.83,51.66,49.2,0.0,0.01778,19441305,994352533.0,2.7906976744185954,49.45
SH.600009,上海机场,2022-01-21 00:00:00,51.78,52.67,55.12,51.78,0.0,0.03912,42776257,2307744973.0,3.61990950226245,50.83
SH.600009,上海机场,2022-01-24 00:00:00,52.53,52.11,53.26,51.97,0.0,0.02227,24352038,1284470779.0,-1.063223846591992,52.67
SH.600009,上海机场,2022-01-25 00:00:00,51.79,51.78,53.36,51.68,0.0,0.02247,24570421,1295057435.0,-0.6332757628094383,52.11
SH.600009,上海机场,2022-01-26 00:00:00,52.08,50.6,52.43,50.24,0.0,0.01645,17985101,920990741.0,-2.2788721514098103,51.78
SH.600009,上海机场,2022-01-27 00:00:00,49.88,49.56,50.96,49.48,0.0,0.01352,14785779,746468282.0,-2.055335968379445,50.6
SH.600009,上海机场,2022-01-28 00:00:00,49.14,50.27,51.28,48.8,0.0,0.01298,14195400,713443702.0,1.432606941081519,49.56
SH.600009,上海机场,2022-02-07 00:00:00,51.08,51.98,52.67,50.39,0.0,0.01815,19848522,1028776989.0,3.4016311915655337,50.27
SH.600009,上海机场,2022-02-08 00:00:00,52.3,53.94,54.03,52.28,0.0,0.02177,23800041,1274503365.0,3.7706810311658354,51.98
SH.600009,上海机场,2022-02-09 00:00:00,54.44,55.48,56.06,53.7,0.0,0.02353,25733409,1424108893.0,2.855024100852798,53.94
SH.600009,上海机场,2022-02-10 00:00:00,55.19,57.57,57.78,55.05,0.0,0.02449,26782542,1534741915.0,3.767123287671239,55.48
SH.600009,上海机场,2022-02-11 00:00:00,57.55,57.18,58.86,56.38,0.0,0.02506,27402217,1578862085.0,-0.6774361646690995,57.57
SH.600009,上海机场,2022-02-14 00:00:00,57.77,57.23,58.58,56.19,0.0,0.01403,15345754,879692308.0,0.08744316194473095,57.18
SH.600009,上海机场,2022-02-15 00:00:00,56.78,55.38,56.79,54.91,0.0,0.01822,19927371,1108841217.0,-3.232570330246365,57.23
SH.600009,上海机场,2022-02-16 00:00:00,55.5,55.9,56.88,54.78,0.0,0.01228,13427540,751290347.0,0.9389671361502274,55.38
SH.600009,上海机场,2022-02-17 00:00:00,55.72,54.98,55.72,54.48,0.0,0.01402,15329462,845239246.0,-1.6457960644007186,55.9
SH.600009,上海机场,2022-02-18 00:00:00,54.68,56.66,56.9,54.48,0.0,0.01405,15364895,867454707.0,3.0556566024008727,54.98
SH.600009,上海机场,2022-02-21 00:00:00,55.88,56.46,56.58,55.28,0.0,0.0083,9080804,511102746.0,-0.35298270384750396,56.66
SH.600009,上海机场,2022-02-22 00:00:00,55.73,55.28,56.02,54.79,0.0,0.01067,11664690,648924825.0,-2.089975203684024,56.46
SH.600009,上海机场,2022-02-23 00:00:00,55.08,54.08,55.68,53.63,0.0,0.01689,18474210,1004925378.0,-2.1707670043415392,55.28
