ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000623.SZ,20241106,18.14,18.49,17.92,18.08,18.08,0.0,0.0,297342.15,540073.35
000623.SZ,20241105,17.6,18.11,17.3,18.08,17.47,0.61,3.4917,333356.35,596709.177
000623.SZ,20241104,17.18,17.47,17.12,17.47,17.07,0.4,2.3433,182022.93,314923.68
000623.SZ,20241101,17.27,17.42,17.0,17.07,17.36,-0.29,-1.6705,229536.8,395292.644
000623.SZ,20241031,17.21,17.74,17.17,17.36,17.38,-0.02,-0.1151,336515.43,587745.534
000623.SZ,20241030,17.09,17.38,17.04,17.38,17.15,0.23,1.3411,189602.83,326632.503
000623.SZ,20241029,17.5,17.62,17.11,17.15,17.45,-0.3,-1.7192,194219.32,336086.126
000623.SZ,20241028,17.08,17.46,17.03,17.45,17.1,0.35,2.0468,171935.67,296612.597
000623.SZ,20241025,16.85,17.26,16.83,17.1,16.9,0.2,1.1834,172609.49,294011.398
000623.SZ,20241024,16.85,17.0,16.81,16.9,16.94,-0.04,-0.2361,138371.36,233692.053
000623.SZ,20241023,16.88,17.09,16.82,16.94,16.88,0.06,0.3555,235964.08,400008.855
000623.SZ,20241022,16.73,16.92,16.67,16.88,16.74,0.14,0.8363,168723.93,283451.31
000623.SZ,20241021,16.8,16.92,16.6,16.74,16.78,-0.04,-0.2384,281723.31,472107.691
000623.SZ,20241018,16.0,17.27,15.94,16.78,16.03,0.75,4.6787,387743.88,642225.719
000623.SZ,20241017,16.4,16.55,16.01,16.03,16.28,-0.25,-1.5356,200343.76,326577.27
000623.SZ,20241016,16.18,16.58,16.11,16.28,16.28,0.0,0.0,177006.63,289220.091
000623.SZ,20241015,16.6,16.82,16.25,16.28,16.73,-0.45,-2.6898,236619.75,391966.951
000623.SZ,20241014,16.63,16.85,16.2,16.73,16.57,0.16,0.9656,285783.23,473650.663
000623.SZ,20241011,17.11,17.2,16.41,16.57,17.1,-0.53,-3.0994,334933.53,562863.28
000623.SZ,20241010,18.0,18.19,16.8,17.1,17.7,-0.6,-3.3898,583382.61,1012096.509
000623.SZ,20241009,18.4,19.19,17.7,17.7,19.06,-1.36,-7.1354,1005516.46,1853320.773
000623.SZ,20241008,19.06,19.06,18.39,19.06,17.33,1.73,9.9827,925692.4,1757831.219
000623.SZ,20240930,17.1,17.33,16.48,17.33,15.75,1.58,10.0317,861939.08,1470096.426
000623.SZ,20240927,15.08,15.77,15.01,15.75,14.77,0.98,6.6351,510424.19,784620.832
000623.SZ,20240926,14.05,14.77,13.98,14.77,14.13,0.64,4.5294,347353.26,502562.297
000623.SZ,20240925,13.95,14.34,13.95,14.13,13.68,0.45,3.2895,293660.84,415703.289
000623.SZ,20240924,12.99,13.68,12.99,13.68,12.92,0.76,5.8824,193278.29,259295.798
000623.SZ,20240923,12.91,12.98,12.88,12.92,12.91,0.01,0.0775,40076.2,51817.584
000623.SZ,20240920,12.93,12.98,12.82,12.91,12.98,-0.07,-0.5393,42731.36,55023.289
000623.SZ,20240919,12.79,13.08,12.71,12.98,12.73,0.25,1.9639,60746.87,78495.806
000623.SZ,20240918,12.8,12.8,12.58,12.73,12.74,-0.01,-0.0785,55002.75,69703.172
000623.SZ,20240913,12.85,12.91,12.73,12.74,12.84,-0.1,-0.7788,44668.54,57308.492
000623.SZ,20240912,12.86,12.98,12.81,12.84,12.87,-0.03,-0.2331,33502.35,43146.323
000623.SZ,20240911,12.81,12.91,12.78,12.87,12.86,0.01,0.0778,31103.62,39970.678
000623.SZ,20240910,13.01,13.02,12.68,12.86,12.96,-0.1,-0.7716,61438.03,78733.987
000623.SZ,20240909,12.98,13.2,12.93,12.96,13.03,-0.07,-0.5372,54979.75,71642.389
000623.SZ,20240906,13.2,13.3,13.0,13.03,13.12,-0.09,-0.686,76675.95,100988.791
000623.SZ,20240905,12.94,13.14,12.9,13.12,12.95,0.17,1.3127,60042.62,78452.957
000623.SZ,20240904,12.85,13.05,12.81,12.95,12.91,0.04,0.3098,63196.79,81923.335
000623.SZ,20240903,12.81,12.94,12.75,12.91,12.83,0.08,0.6235,69183.49,89043.332
000623.SZ,20240902,12.89,13.14,12.82,12.83,12.7,0.13,1.0236,156847.67,203354.415
000623.SZ,20240830,12.74,12.92,12.49,12.7,12.72,-0.02,-0.1572,146063.29,185927.881
000623.SZ,20240829,12.7,12.8,12.66,12.72,12.69,0.03,0.2364,46307.6,59000.066
000623.SZ,20240828,12.75,12.83,12.66,12.69,12.74,-0.05,-0.3925,39498.2,50267.676
000623.SZ,20240827,12.82,12.86,12.72,12.74,12.83,-0.09,-0.7015,33365.35,42622.079
000623.SZ,20240826,12.89,12.91,12.8,12.83,12.87,-0.04,-0.3108,34421.83,44239.067
000623.SZ,20240823,12.87,12.91,12.77,12.87,12.88,-0.01,-0.0776,38628.55,49583.683
000623.SZ,20240822,13.04,13.08,12.85,12.88,13.0,-0.12,-0.9231,37943.88,49123.699
000623.SZ,20240821,13.1,13.15,12.98,13.0,13.11,-0.11,-0.8391,34275.93,44693.774
000623.SZ,20240820,13.35,13.4,13.08,13.11,13.37,-0.26,-1.9447,60117.02,79229.997
000623.SZ,20240819,13.34,13.49,13.32,13.37,13.35,0.02,0.1498,40745.03,54639.346
000623.SZ,20240816,13.43,13.44,13.33,13.35,13.44,-0.09,-0.6696,43295.23,57917.719
000623.SZ,20240815,13.32,13.54,13.32,13.44,13.34,0.1,0.7496,55671.57,74772.66
000623.SZ,20240814,13.51,13.52,13.3,13.34,13.51,-0.17,-1.2583,44808.16,60006.134
000623.SZ,20240813,13.54,13.54,13.41,13.51,13.52,-0.01,-0.074,43919.92,59118.392
000623.SZ,20240812,13.42,13.62,13.42,13.52,13.44,0.08,0.5952,49503.3,66931.027
000623.SZ,20240809,13.59,13.65,13.43,13.44,13.57,-0.13,-0.958,47381.4,64027.35
000623.SZ,20240808,13.42,13.6,13.42,13.57,13.42,0.15,1.1177,57917.5,78407.694
000623.SZ,20240807,13.54,13.54,13.37,13.42,13.54,-0.12,-0.8863,46538.93,62635.81
000623.SZ,20240806,13.49,13.61,13.46,13.54,13.44,0.1,0.744,59498.24,80441.328
000623.SZ,20240805,13.46,13.71,13.41,13.44,13.51,-0.07,-0.5181,83424.66,113049.088
000623.SZ,20240802,13.45,13.68,13.43,13.51,13.5,0.01,0.0741,100840.77,136841.445
000623.SZ,20240801,13.45,13.58,13.41,13.5,13.49,0.01,0.0741,99087.23,133737.598
000623.SZ,20240731,13.1,13.54,13.05,13.49,13.07,0.42,3.2135,149086.28,199277.71
000623.SZ,20240730,13.06,13.12,13.0,13.07,13.06,0.01,0.0766,41214.31,53874.882
000623.SZ,20240729,13.1,13.17,13.05,13.06,13.09,-0.03,-0.2292,51311.78,67215.592
000623.SZ,20240726,12.92,13.13,12.91,13.09,12.92,0.17,1.3158,51595.17,67370.571
000623.SZ,20240725,12.85,13.01,12.84,12.92,12.9,0.02,0.155,48006.75,62093.062
000623.SZ,20240724,12.93,12.98,12.83,12.9,12.93,-0.03,-0.232,41860.27,54020.46
000623.SZ,20240723,13.17,13.18,12.93,12.93,13.15,-0.22,-1.673,53512.64,69935.856
000623.SZ,20240722,13.22,13.27,13.11,13.15,13.18,-0.03,-0.2276,49374.73,65098.58
000623.SZ,20240719,13.13,13.21,13.08,13.18,13.2,-0.02,-0.1515,50130.4,65929.715
000623.SZ,20240718,13.1,13.21,13.01,13.2,13.17,0.03,0.2278,60251.38,79069.094
000623.SZ,20240717,13.05,13.18,13.05,13.17,13.08,0.09,0.6881,44473.68,58398.429
000623.SZ,20240716,13.06,13.18,13.03,13.08,13.06,0.02,0.1531,37425.58,48984.225
000623.SZ,20240715,13.13,13.13,13.0,13.06,13.14,-0.08,-0.6088,43467.71,56798.033
000623.SZ,20240712,13.02,13.17,13.02,13.14,13.1,0.04,0.3053,39440.12,51775.511
000623.SZ,20240711,13.0,13.14,12.94,13.1,12.84,0.26,2.0249,65863.69,86055.41
000623.SZ,20240710,12.8,13.02,12.78,12.84,12.83,0.01,0.0779,53808.44,69466.701
000623.SZ,20240709,12.78,12.89,12.59,12.83,12.67,0.16,1.2628,84044.14,107005.401
000623.SZ,20240708,13.62,13.65,13.22,13.27,13.63,-0.36,-2.6412,87394.93,116880.798
000623.SZ,20240705,13.49,13.64,13.42,13.63,13.46,0.17,1.263,51186.88,69371.684
000623.SZ,20240704,13.67,13.7,13.42,13.46,13.65,-0.19,-1.3919,50071.55,67621.154
000623.SZ,20240703,13.68,13.77,13.63,13.65,13.67,-0.02,-0.1463,48529.3,66492.241
000623.SZ,20240702,13.61,13.79,13.6,13.67,13.56,0.11,0.8112,65063.0,88987.836
000623.SZ,20240701,13.4,13.63,13.36,13.56,13.4,0.16,1.194,59338.92,80186.248
000623.SZ,20240628,13.44,13.61,13.37,13.4,13.46,-0.06,-0.4458,55205.55,74529.508
000623.SZ,20240627,13.54,13.57,13.4,13.46,13.56,-0.1,-0.7375,47070.91,63363.024
000623.SZ,20240626,13.43,13.58,13.38,13.56,13.42,0.14,1.0432,60315.81,81331.561
