ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002004.SZ,20241105,4.65,4.74,4.63,4.72,4.68,0.04,0.8547,243040.25,114155.396
002004.SZ,20241104,4.59,4.68,4.58,4.68,4.58,0.1,2.1834,171853.72,79722.62
002004.SZ,20241101,4.61,4.65,4.55,4.58,4.61,-0.03,-0.6508,220024.0,101294.826
002004.SZ,20241031,4.6,4.66,4.58,4.61,4.62,-0.01,-0.2165,205711.51,94881.252
002004.SZ,20241030,4.61,4.68,4.56,4.62,4.62,0.0,0.0,193267.0,89308.186
002004.SZ,20241029,4.75,4.79,4.6,4.62,4.72,-0.1,-2.1186,269019.77,125652.707
002004.SZ,20241028,4.66,4.72,4.63,4.72,4.66,0.06,1.2876,182177.02,85372.548
002004.SZ,20241025,4.55,4.67,4.54,4.66,4.55,0.11,2.4176,171849.0,79283.756
002004.SZ,20241024,4.52,4.58,4.51,4.55,4.54,0.01,0.2203,120594.44,54741.855
002004.SZ,20241023,4.5,4.55,4.47,4.54,4.49,0.05,1.1136,167719.0,75798.761
002004.SZ,20241022,4.41,4.49,4.41,4.49,4.41,0.08,1.8141,215254.0,95835.841
002004.SZ,20241021,4.45,4.53,4.4,4.41,4.45,-0.04,-0.8989,270938.5,120155.488
002004.SZ,20241018,4.36,4.5,4.32,4.45,4.35,0.1,2.2989,220303.56,97298.825
002004.SZ,20241017,4.5,4.5,4.34,4.35,4.45,-0.1,-2.2472,215134.48,94518.658
002004.SZ,20241016,4.4,4.5,4.39,4.45,4.42,0.03,0.6787,217563.28,97059.721
002004.SZ,20241015,4.52,4.53,4.42,4.42,4.52,-0.1,-2.2124,224317.0,100178.955
002004.SZ,20241014,4.49,4.55,4.42,4.52,4.49,0.03,0.6682,235590.97,105901.541
002004.SZ,20241011,4.58,4.63,4.41,4.49,4.58,-0.09,-1.9651,255955.95,115272.041
002004.SZ,20241010,4.65,4.73,4.55,4.58,4.56,0.02,0.4386,269793.74,125215.186
002004.SZ,20241009,4.9,4.91,4.55,4.56,4.95,-0.39,-7.8788,451916.53,212206.337
002004.SZ,20241008,5.22,5.23,4.76,4.95,4.75,0.2,4.2105,599845.27,299550.807
002004.SZ,20240930,4.55,4.79,4.53,4.75,4.43,0.32,7.2235,499227.45,233321.517
002004.SZ,20240927,4.38,4.48,4.36,4.43,4.33,0.1,2.3095,246963.5,109051.454
002004.SZ,20240926,4.21,4.34,4.2,4.33,4.24,0.09,2.1226,195967.06,83475.0
002004.SZ,20240925,4.2,4.3,4.2,4.24,4.18,0.06,1.4354,177507.0,75442.423
002004.SZ,20240924,3.99,4.18,3.96,4.18,3.96,0.22,5.5556,208113.7,85213.55
